order_id,customer_id,order_date,product,quantity,unit_price
1001,1,2026-03-01,Widget A,2,9.99
1002,2,2026-03-01,Widget B,1,19.99
1003,3,2026-03-01,Widget C,3,29.99
1004,4,2026-03-02,Widget A,1,9.99
1005,1,2026-03-02,Widget B,2,19.99
1006,5,2026-03-02,Widget A,4,9.99
1007,2,2026-03-02,Widget C,1,29.99
1008,3,2026-03-03,Widget B,2,19.99
1009,1,2026-03-03,Widget A,5,9.99
1010,4,2026-03-03,Widget C,1,29.99
1011,5,2026-03-03,Widget B,3,19.99
1012,2,2026-03-04,Widget A,2,9.99
1013,3,2026-03-04,Widget B,1,19.99
1014,1,2026-03-04,Widget C,2,29.99
1015,4,2026-03-04,Widget A,3,9.99
1016,5,2026-03-05,Widget B,1,19.99
1017,2,2026-03-05,Widget C,2,29.99
1018,3,2026-03-05,Widget A,4,9.99
1019,1,2026-03-05,Widget B,1,19.99
1020,4,2026-03-05,Widget C,3,29.99
